pid,bin,iin,inn,unp,regdate,crdate,index_date,number_reg,name_ru,name_kz,country_code,customer,organizer,mark_national_company,ref_kopf_code,mark_assoc_with_disab,system_id,supplier,type_supplier,krp_code,oked_list,kse_code,mark_world_company,mark_state_monopoly,mark_natural_monopoly,mark_patronymic_producer,mark_patronymic_supplyer,mark_small_employer,is_single_org,email,phone,website,last_update_date,qvazi,year,mark_resident
79,804729688764,620412968373,215255132183,498324001682,2025-07-22,2025-06-05,2024-10-22 14:24:03,51326,АО «ПроектИнвест»,АО «ProjectInvest»,KG,1,0,1,665,1,3,0,1,852,36210,744,0,1,1,1,0,1,1,budimir2000@example.org,+7 (776) 262-7272,https://ooo.org/,2023-01-17 20:35:38,1,2016,1
80,735903874621,433501509291,389827523347,161637163450,2024-03-24,2023-06-28,2024-09-01 21:43:08,83025,ТОО «ВетСервис»,ТОО «VetService»,KZ,0,1,0,465,1,3,0,1,811,37010,671,1,0,0,1,0,0,1,borislav_61@example.net,+7 (776) 373-8383,http://www.rao.net/,2023-05-27 15:21:13,1,2019,1
81,485316089604,994740397214,212460546268,149410233819,2023-10-16,2025-09-20,2025-03-26 06:54:46,30608,ИП «ЛабИнструмент»,ИП «LabInstrument»,RU,0,0,0,674,1,3,0,2,986,37110,817,1,1,0,1,1,1,0,jaropolk52@example.com,+7 (776) 484-9494,https://www.zao.edu/,2023-08-09 18:06:32,1,2000,1
82,484500909381,859395947606,772271126296,680706318761,2025-07-08,2025-05-06,2023-09-20 13:11:58,39544,АО «ИнфраПром»,АО «InfraProm»,UZ,0,0,0,330,0,3,0,1,218,37210,717,0,0,1,0,0,0,1,cilina@example.com,+7 (776) 595-0505,http://zao.edu/,2025-03-11 05:30:16,0,2018,0
83,455405957017,358334685911,542780060055,450029351031,2023-10-26,2024-02-05,2023-10-23 06:11:29,31912,ТОО «РекламДизайн»,ТОО «ReklamDesign»,RU,0,0,1,94,0,3,1,1,122,38110,720,0,1,0,1,1,1,0,prokl72@example.org,+7 (776) 606-1616,http://www.oao.info/,2025-03-14 03:42:11,0,2024,0
84,374251257081,174119689416,745622571432,463250207653,2025-05-30,2023-05-25,2023-03-11 01:01:26,46950,ИП «АвтоФлит»,ИП «AutoFleet»,KG,0,0,0,110,0,3,0,2,442,39110,512,0,0,1,0,1,1,1,apollonprohorov@example.com,+7 (776) 717-2727,http://www.vishnjakov.org/,2024-08-20 21:55:27,0,2005,0
85,992406452887,254944270635,873049717546,763849225803,2025-03-02,2025-06-20,2023-01-21 01:56:59,84938,АО «ЭкоСтрой Групп»,АО «EcoQurylys Group»,UZ,0,0,1,722,0,3,0,3,636,40010,831,0,0,1,1,1,0,0,artem_2022@example.com,+7 (777) 171-8181,http://www.npo.edu/,2023-01-26 10:38:42,1,2005,0
86,597833471587,150253453813,283638960528,565293092643,2024-12-03,2025-05-01,2024-12-20 08:42:58,84052,ТОО «ПолиграфПрофи»,ТОО «PolygraphProfi»,KZ,0,0,1,924,0,3,1,3,989,40110,560,0,1,0,0,1,0,1,gostomisl_44@example.org,+7 (777) 282-9292,https://www.ooo.ru/,2023-06-25 21:49:11,1,2008,1
87,763281915296,571455438983,251427495757,534022885805,2024-09-10,2023-01-07,2022-12-02 23:41:46,54716,ИП «Стандарт-Мебель»,ИП «Standart-Jihaz»,UZ,0,0,1,779,1,3,1,1,855,40210,938,0,1,1,0,0,1,1,marfa1990@example.com,+7 (777) 393-0303,https://ip.info/,2024-11-03 23:27:24,1,2006,0
88,241778702069,312975208257,959330970082,317439903177,2025-01-14,2024-07-05,2023-09-19 16:04:53,44588,АО «Digital Systems KZ»,АО «Digital Systems KZ»,RU,1,0,1,763,0,3,1,3,215,41110,219,1,0,1,0,0,0,1,fedoseevelise@example.org,+7 (777) 404-1414,http://www.ao.biz/,2025-11-13 13:06:09,0,2022,0
89,863850309479,439795246342,420547207106,677095285846,2025-03-19,2023-01-12,2025-06-29 04:53:30,14681,ТОО «РоудСервис»,ТОО «RoadService»,UZ,1,0,1,489,1,3,1,3,814,42110,687,1,1,0,0,0,0,1,sergeevaregina@example.com,+7 (777) 515-2525,https://npo.net/,2024-03-05 06:43:15,1,2002,0
90,396335467902,810735690413,188842169356,757270700016,2022-12-09,2024-03-19,2023-01-04 23:44:11,15770,ИП «ПромФильтр»,ИП «PromFilter»,RU,1,1,1,779,0,3,0,1,529,43110,149,1,0,0,1,0,0,1,ppestov@example.org,+7 (777) 626-3636,http://www.abi.org/,2025-07-06 01:27:55,0,2002,0
91,834801557922,507181874196,944452010856,394719380728,2023-01-09,2023-12-02,2025-08-21 00:05:21,94399,АО «GeoMonitoring»,АО «GeoMonitoring»,KG,1,0,0,690,0,3,0,2,30,44110,981,0,0,1,1,0,0,1,ivan_2010@example.net,+7 (777) 737-4747,http://moskovskaja.com/,2024-12-13 00:52:10,1,2011,0
92,847092217469,633588538573,583532590662,931304843311,2025-06-15,2023-07-19,2023-12-06 06:30:34,67804,ТОО «ЭлектроКабель»,ТОО «ElectroKabel»,RU,1,0,0,481,0,3,0,1,582,45110,146,0,1,0,0,0,0,1,karpdavidov@example.org,+7 (778) 181-5858,https://zao.info/,2024-03-01 05:28:14,1,2014,1
93,814801901026,354055692401,944876664588,774672459513,2025-03-07,2023-08-01,2025-03-21 04:29:16,31390,ИП «Зеленстрой Казахстан»,ИП «JasylQurylys Kazakhstan»,UZ,1,1,1,498,0,3,0,3,976,46110,751,0,1,0,1,1,0,1,mihemartinov@example.com,+7 (778) 292-6969,https://rossiskaja.info/,2025-11-04 14:18:06,0,2021,1
94,370378368491,556430366577,149611650637,785311032872,2024-05-30,2023-12-25,2023-12-18 06:09:30,54311,АО «agroHolding Kazakhstan»,АО «AgroHolding Kazakhstan»,RU,1,1,0,267,0,3,0,1,909,46660,479,1,1,1,0,1,1,1,boleslav1972@example.net,+7 (778) 303-7070,http://ao.info/,2024-05-25 11:25:58,0,2022,0
95,342515208589,749846824384,467054825463,510408745934,2025-03-29,2023-04-03,2023-05-14 12:10:04,13709,ТОО «ГидроСистемы»,ТОО «GidroSystems»,KZ,1,1,0,208,0,3,1,2,723,47110,890,0,1,1,1,0,1,1,anzhelika_57@example.net,+7 (778) 414-8181,https://www.samsonov.info/,2024-10-07 18:22:00,1,2008,1
96,636108130622,382495365842,631352313287,159776272818,2025-07-02,2025-02-08,2025-10-19 12:23:57,34001,ИП «АвтоСклад»,ИП «AutoQoyma»,RU,0,0,1,800,0,3,1,3,247,47210,306,1,1,1,0,1,0,1,tihon23@example.com,+7 (778) 525-9292,https://www.rao.info/,2024-01-31 21:30:42,0,2003,1
97,173807311961,155880727768,627917078444,533905185077,2024-12-18,2025-10-09,2023-07-04 22:14:35,88702,АО «LabTech Central Asia»,АО «LabTech Central Asia»,KG,0,1,1,288,1,3,0,3,955,48110,283,0,1,0,1,0,1,0,ladislav51@example.com,+7 (778) 636-0303,http://rao.ru/,2023-08-06 12:35:24,0,2018,1
98,846201692158,671276032608,608530841214,918853037465,2025-04-05,2023-09-29,2023-09-19 22:45:37,78690,ТОО «СантехПоставка»,ТОО «SantehPostavka»,UZ,1,0,1,428,1,3,0,2,20,49110,502,0,1,0,1,0,0,0,ivanna2014@example.com,+7 (778) 747-1414,http://www.zao.net/,2024-04-26 04:04:44,0,2007,0
99,202111441637,931095122756,339318434924,439015504474,2023-02-21,2023-12-21,2025-05-29 12:56:19,44353,ИП «ПечатьЭкспресс»,ИП «BaspaExpress»,KZ,1,1,1,298,1,3,0,1,522,50110,890,1,1,0,0,0,1,1,silanti72@example.net,+7 (779) 191-2424,https://www.rao.biz/,2025-02-11 13:57:00,1,2015,1
100,149840787283,106438730504,198528677048,544641133613,2025-04-08,2024-09-20,2024-12-23 12:39:26,12795,АО «KazIndustry Development»,АО «KazIndustry Development»,KZ,0,1,1,287,0,3,0,3,301,50210,619,1,0,1,1,1,1,0,pantelemongrigorev@example.org,+7 (779) 202-3535,http://nk.ru/,2024-03-15 06:28:03,0,2010,0
